Name,Symbol ,Security Number,ISIN_Text,Weight,Market Cap (NIS millions)
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.11617,894
AVGOL,AVGL,1100957,IL0011009573,0.11572,1141
MIVTACH SHAMIR,MISH,127019,IL0001270193,0.11334,649
IES,IES,431015,IL0004310152,0.11232,857
ARAD,ARD,1091651,IL0010916513,0.10996,1079
DIMRI,DIMRI,1090315,IL0010903156,0.10688,1049
ISSTA,ISTA,1081074,IL0010810740,0.10257,783
AFCON HOLD,AFHL,578013,IL0005780130,0.10191,778
MEITAV DS,MTDS,1081843,IL0010818438,0.10102,771
KLIL,KLIL,797035,IL0007970358,0.09597,733
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.0947,1302
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.09415,924
ATREYU CAP,ATRY,1096106,IL0010961063,0.09413,539
AZORIM,AZRM,715011,IL0007150118,0.09199,702
ZUR,ZUR,730010,IL0007300101,0.08856,869
FMS,FBRT,315010,IL0003150104,0.08846,868
MALAM TEAM,MLTM,156018,IL0001560189,0.08475,832
LAND DEV,ILDC,612010,IL0006120104,0.08394,824
DOR ALON,DRAL,1093202,IL0010932023,0.08381,823
TADIRAN HOLDING,TDRN,258012,IL0002580129,0.07997,785
ADGAR INV.,ADGR,1820083,IL0018200837,0.07953,781
ISRAEL CANADA,ISCN,434019,IL0004340191,0.07591,745
SPUNTECH,SPNTC,1090117,IL0010901176,0.07188,706
SHALAG,SALG,1090547,IL0010905474,0.06604,504
