,שם ני''ע,TICNUM,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח,,,,
,,,,,מניות,,,,,,,,,,,,
,עזריאלי קבוצה,1119478,02/05/2018,30,18990,17251.2,10.07,521.63,-0.31,,,,5697,,,,
,רדהיל,1122381,04/12/2018,318,297.8,300,-0.73,-6.99,-5.46,,,,947,,,,
,לייבפרסון,1123017,26/02/2018,42,7059,4874,44.82,917.69,-0.82,,,,2964.78,,,,
,ויקטורי,1123777,04/12/2018,21,4878,4900,-0.44,-4.62,-0.32,,,,1024.38,,,,
,איידיאיי ביטוח,1129501,01/11/2018,5,20930,20910,0.09,1,-1.36,,,,1046.5,,,,
,'אופקו הלת,1129543,26/02/2018,88,1413,1307,8.11,93.27,0.28,,,,1243.44,,,,
,פריגו,1130699,02/12/2018,8,23730,30664.25,-22.61,-554.74,0.21,18/12/2018,1.22,USD,1898.4,,,,
,מגדלי תיכון,1131523,04/12/2018,137,647.4,636,1.79,15.61,0.57,11/12/2018,11.49,שח,886.94,,,,
,אורמת טכנו,1134402,20/11/2018,26,21100,21877.7692,-3.55,-202.22,0.95,04/12/2018,1.95,USD,5486,,,,
,פוינטר,1138189,04/12/2018,23,4385,4365,0.45,4.59,0.45,,,,1008.55,,,,
,תמר פטרוליום,1141357,10/10/2018,54,1643,1615.5556,1.69,14.81,-1.14,,,,887.22,,,,
,או פי סי אנרגיה,1141571,31/10/2018,51,1997,1945,2.67,26.51,0.85,,,,1018.47,,,,
,פתאל החזקות,1143429,26/09/2018,2,45140,43950,2.7,23.79,-1.56,,,,902.8,,,,
,איי.אפ.אפ,1155019,09/10/2018,8.47,53010,לא חושב,,,0.58,,,,4489.95,,,,
,בזן,2590248,26/02/2018,1014,181.7,164.2002,10.65,177.44,-3.09,,,,1842.44,,,,
,אלקטרה צריכה,5010129,02/11/2018,25,3990,4030,-0.99,-10,4.8,,,,997.5,,,,
