,TICNAME,TICNUM,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח
,,,,,מניות,,,,,,,,
,גזית גלוב,126011,02/10/2018,,,,,99,3085,,,,3054.15
,כלכלית ירושלים,198010,26/02/2018,184,999.4,883,13.18,214.17,0.4,,,,1838.9
,כלל עסקי ביטוח,224014,27/09/2018,17,6400,6752,-5.21,-59.84,-0.1,,,,1088
,בזק,230011,10/10/2018,670,403.8,515.794,-21.71,-750.35,0.95,,,,2705.46
,ישראמקו יהש,232017,05/06/2018,7100,41.5,41.5273,-0.06,-1.93,0.48,,,,2946.5
,נייס,273011,26/02/2018,21,39780,33700,18.04,1276.79,2.2,,,,8353.8
,כיל,281014,04/09/2018,180,2170,1498.7667,44.78,1208.21,0.27,,,,3906
,דנאל כא,314013,16/09/2018,6,17860,16625,7.42,74.09,0.56,,,,1071.6
,מליסרון,323014,23/08/2018,41,15390,15136.0976,1.67,104.09,2.53,,,,6309.9
,מנורה מב החז,566018,12/04/2018,39,4156,4693.9744,-11.46,-209.81,0.02,,,,1620.84
,הראל השקעות,585018,12/04/2018,72,2749,2702,1.73,33.83,-0.29,,,,1979.28
,בינלאומי,593038,02/09/2018,23,7850,7832.3478,0.22,4.05,0,,,,1805.5
,לאומי,604611,06/09/2018,340,2320,2001.4588,15.91,1083.04,-0.55,,,,7888
,ישרס,613034,11/06/2018,2,42500,41800,1.67,13.99,1.82,,,,850
,קרור,621011,18/06/2018,10,9510,10019,-5.08,-50.9,1.35,,,,951
,טבע,629014,26/02/2018,20,7751,6973,11.15,155.59,2.36,,,,1550.2
,נייר חדרה,632018,21/08/2018,5,26450,23284.4,13.59,158.27,0.91,,,,1322.5
,פועלים,662577,12/06/2018,260,2500,2397.8269,4.26,265.65,-1.18,,,,6500
,דיסקונט א,691212,02/09/2018,690,1226,972.642,26.04,1748.17,-0.72,,,,8459.4
,מזרחי טפחות,695437,05/06/2018,120,6295,6179.0583,1.87,139.13,-0.31,,,,7554
,דקסיה ישראל,711010,24/07/2018,2,68960,60109,14.72,177.01,0.73,,,,1379.2
,שטראוס,746016,10/06/2018,31,8172,7375.5484,10.79,246.89,0.49,,,,2533.32
,הפניקס,767012,25/06/2018,140,2077,2026.1357,2.51,71.21,0.48,,,,2907.8
,המלט,1080324,02/08/2018,10,9618,9270.8,3.74,34.71,1.41,,,,961.8
,אלביט מערכות,1081124,17/09/2018,17,44410,50557.5882,-12.15,-1045.09,2.68,,,,7549.7
,מגדל ביטוח,1081165,05/09/2018,1792,413,374.2377,10.35,694.62,0.97,,,,7400.96
,פלסאון תעשיות,1081603,27/09/2018,44,17740,17660,0.45,35.19,2.24,,,,7805.6
,שיכון ובינוי,1081942,26/02/2018,558,738,707,4.38,172.97,1.65,,,,4118.04
,טאואר,1082379,26/02/2018,18,6646,10800,-38.46,-747.72,-4.07,,,,1196.28
,אודיוקודס,1082965,20/08/2018,36,4445,2629,69.07,653.75,13.97,,,,1600.2
,דלק קבוצה,1084128,15/10/2018,5,62820,59762.8,5.11,152.85,-0.67,,,,3141
,נובה,1084557,26/02/2018,10,8216,9242,-11.1,-102.6,-0.89,,,,821.6
,ארפורט סיטי,1095835,26/02/2018,24,4300,4175,2.99,29.99,-0.5,,,,1032
,אמות,1097278,03/09/2018,68,1857,1884,-1.43,-18.36,-1.69,,,,1262.76
,רבוע נדלן,1098565,24/04/2018,8,12760,13230,-3.55,-37.6,3.48,,,,1020.8
,1 ריט,1098920,04/09/2018,1051,1465,1423,2.95,441.41,1.03,,,,15397.15
,פז נפט,1100007,09/04/2018,2,55330,53412.5,3.58,38.34,1.15,,,,1106.6
,סלקום,1101534,26/02/2018,48,2162,2891,-25.21,-349.92,-1.77,,,,1037.76
,מזור רובוטיקה,1106855,26/02/2018,24,10660,11020,-3.26,-86.4,-0.09,,,,2558.4
,עזריאלי קבוצה,1119478,02/05/2018,30,18100,17251.2,4.92,254.63,1.57,,,,5430
,לייבפרסון,1123017,26/02/2018,42,7810,4874,60.23,1233.11,3.58,,,,3280.2
,'אופקו הלת,1129543,26/02/2018,88,1225,1307,-6.27,-72.16,-4.59,,,,1078
,פריגו,1130699,25/09/2018,8,26330,30664.25,-14.13,-346.74,1.15,,,,2106.4
,מגדלי תיכון,1131523,11/07/2018,137,630.7,636,-0.83,-7.26,-0.15,,,,864.06
,אורמת טכנו,1134402,04/09/2018,26,19050,21877.7692,-12.92,-735.22,1.32,,,,4953
,תמר פטרוליום,1141357,10/10/2018,54,1631,1615.5556,0.95,8.33,0.67,,,,880.74
,פתאל החזקות,1143429,26/09/2018,2,40480,43950,-7.89,-69.4,0,,,,809.6
,איי.אפ.אפ,1155019,09/10/2018,8.47,51410,לא חושב,,,1.96,,,,4354.43
,בזן,2590248,26/02/2018,1014,174,164.2002,5.96,99.36,2.71,,,,1764.36
